e_name,prepro,select,trim,postpro,detector
IYG_PC1_D0,IYG_D0,1,0,cusum,argmax
IYG_PC3_D0,IYG_D0,1:3,0,cusum,argmax
IYG_PC1_D1,IYG_D1,1,0,cusum,argmax
IYG_PC3_D1,IYG_D1,1:3,0,cusum,argmax
LT_D0,LT_D0,,0,cusum,argmax
LT_D1,LT_D1,,0,cusum,argmax
FR_M_D0,FR_RM_D0,1,20,id,argmax
FR_MV_D0,FR_RM_D0,2,20,id,argmax
FR_V_D0,FR_RM_D0,3,20,id,argmax
FR_VV_D0,FR_VV_D0,,20,id,argmax
FR_M_D1,FR_RM_D1,1,20,id,argmax
FR_MV_D1,FR_RM_D1,2,20,id,argmax
FR_V_D1,FR_RM_D1,3,20,id,argmax
FR_VV_D1,FR_VV_D1,,20,id,argmax
